Status,Beer_Beerid
Year-round,47986
Year-round,48213
Year-round,48215
Year-round,47969
Rotating/Seasonal,64883
Retired (no longer brewed),12386
Rotating/Seasonal,10794
Rotating/Seasonal,54330
Rotating/Seasonal,55097
Retired (no longer brewed),76963
Rotating/Seasonal,60951
Retired (no longer brewed),37917
Retired (no longer brewed),10793
Retired (no longer brewed),2724
Rotating/Seasonal,39314
Year-round,45855
Retired (no longer brewed),64800
Retired (no longer brewed),68668
Retired (no longer brewed),68672
Retired (no longer brewed),69087
Retired (no longer brewed),44082
Retired (no longer brewed),12835
Rotating/Seasonal,70395
Year-round,66308
Rotating/Seasonal,51814
Year-round,23326
Retired (no longer brewed),23327
Retired (no longer brewed),27666
Retired (no longer brewed),26817
Retired (no longer brewed),27664
Retired (no longer brewed),26419
Retired (no longer brewed),26418
Retired (no longer brewed),27799
Retired (no longer brewed),36470
Retired (no longer brewed),36580
Retired (no longer brewed),38540
Retired (no longer brewed),23315
Retired (no longer brewed),36609
Retired (no longer brewed),36484
Retired (no longer brewed),36720
Retired (no longer brewed),42953
Year-round,49485
Retired (no longer brewed),32179
Year-round,22609
Retired (no longer brewed),42573
Retired (no longer brewed),20986
Year-round,57800
Retired (no longer brewed),37237
Retired (no longer brewed),34739
Year-round,70647
Retired (no longer brewed),34738
Retired (no longer brewed),38233
Retired (no longer brewed),43945
Rotating/Seasonal,65089
Rotating/Seasonal,65568
Retired (no longer brewed),74998
Rotating/Seasonal,73291
Retired (no longer brewed),35228
Rotating/Seasonal,65636
Retired (no longer brewed),64379
Retired (no longer brewed),66430
Retired (no longer brewed),66889
Retired (no longer brewed),66856
Retired (no longer brewed),55096
Retired (no longer brewed),39007
Retired (no longer brewed),73290
Rotating/Seasonal,75449
Retired (no longer brewed),71513
Retired (no longer brewed),71533
Retired (no longer brewed),32141
Retired (no longer brewed),26562
Retired (no longer brewed),29142
Retired (no longer brewed),27229
Retired (no longer brewed),72005
Retired (no longer brewed),47880
Retired (no longer brewed),71669
Retired (no longer brewed),24016
Retired (no longer brewed),72200
Retired (no longer brewed),72448
Retired (no longer brewed),44081
Retired (no longer brewed),26909
Retired (no longer brewed),36661
Retired (no longer brewed),73020
Retired (no longer brewed),72989
Retired (no longer brewed),57894
Rotating/Seasonal,64842
Retired (no longer brewed),61864
Rotating/Seasonal,64841
Year-round,71502
Retired (no longer brewed),63995
Retired (no longer brewed),56979
Retired (no longer brewed),58942
Retired (no longer brewed),58941
Rotating/Seasonal,47450
Year-round,73752
Year-round,48061
Rotating/Seasonal,44844
Year-round,69234
Retired (no longer brewed),30780
Rotating/Seasonal,75708
Retired (no longer brewed),54846
Retired (no longer brewed),74672
Retired (no longer brewed),76766
Rotating/Seasonal,76668
Retired (no longer brewed),76508
Year-round,69828
Year-round,69826
Retired (no longer brewed),65210
Retired (no longer brewed),65197
Retired (no longer brewed),65209
Retired (no longer brewed),65208
Retired (no longer brewed),65211
Rotating/Seasonal,65484
Retired (no longer brewed),61425
Retired (no longer brewed),74370
Retired (no longer brewed),62884
Retired (no longer brewed),61417
Rotating/Seasonal,64816
Year-round,48550
Rotating/Seasonal,48549
Rotating/Seasonal,48548
Year-round,46650
Retired (no longer brewed),59983
Retired (no longer brewed),59984
Retired (no longer brewed),59986
Year-round,56688
Retired (no longer brewed),32084
Retired (no longer brewed),74654
Year-round,75989
Retired (no longer brewed),56687
Retired (no longer brewed),20367
Rotating/Seasonal,68447
Retired (no longer brewed),64423
Retired (no longer brewed),66845
Retired (no longer brewed),65639
Rotating/Seasonal,73646
Year-round,53678
Retired (no longer brewed),20505
Year-round,61474
Rotating/Seasonal,51815
Retired (no longer brewed),35880
Retired (no longer brewed),38212
Retired (no longer brewed),36038
Year-round,51793
Retired (no longer brewed),40248
Retired (no longer brewed),72329
Retired (no longer brewed),40448
Rotating/Seasonal,40537
Retired (no longer brewed),36039
Retired (no longer brewed),36035
Year-round,64538
Retired (no longer brewed),22746
Retired (no longer brewed),30983
Retired (no longer brewed),56735
Year-round,53523
Year-round,64879
Retired (no longer brewed),46252
Retired (no longer brewed),35386
Rotating/Seasonal,67820
Year-round,70732
Rotating/Seasonal,52451
Rotating/Seasonal,52403
Rotating/Seasonal,43904
Year-round,29030
Retired (no longer brewed),46582
Retired (no longer brewed),52444
Rotating/Seasonal,24443
Retired (no longer brewed),57560
Retired (no longer brewed),20584
Retired (no longer brewed),61638
Rotating/Seasonal,47926
Retired (no longer brewed),69242
Retired (no longer brewed),15139
Rotating/Seasonal,65507
Rotating/Seasonal,70673
Rotating/Seasonal,75940
Year-round,75267
Year-round,75269
Retired (no longer brewed),33772
Retired (no longer brewed),26651
Retired (no longer brewed),76780
Retired (no longer brewed),27828
Retired (no longer brewed),74146
Year-round,54295
Retired (no longer brewed),17124
Retired (no longer brewed),17059
Year-round,66024
Year-round,28469
Year-round,28100
Year-round,64924
Retired (no longer brewed),23118
Retired (no longer brewed),20112
Rotating/Seasonal,57686
Retired (no longer brewed),26856
Retired (no longer brewed),25252
Year-round,73506
Year-round,43922
Retired (no longer brewed),26853
Retired (no longer brewed),43920
Retired (no longer brewed),5182
Year-round,77006
Year-round,40767
Rotating/Seasonal,52287
Retired (no longer brewed),42331
Rotating/Seasonal,42332
Retired (no longer brewed),42330
Year-round,64542
Year-round,64541
Year-round,64540
Year-round,64543
Year-round,64544
Retired (no longer brewed),76088
Retired (no longer brewed),45344
Retired (no longer brewed),64487
Rotating/Seasonal,45885
Retired (no longer brewed),39886
Rotating/Seasonal,75244
Retired (no longer brewed),45887
Retired (no longer brewed),48932
Retired (no longer brewed),45348
Retired (no longer brewed),64082
Rotating/Seasonal,45347
Retired (no longer brewed),52171
Retired (no longer brewed),32265
Retired (no longer brewed),37559
Retired (no longer brewed),56001
Retired (no longer brewed),38082
Retired (no longer brewed),27585
