Status,Beer_Beerid
Year-round,45702
Year-round,72397
Year-round,75872
Year-round,46074
Retired (no longer brewed),29988
Year-round,26335
Rotating/Seasonal,74207
Retired (no longer brewed),26334
Retired (no longer brewed),43520
Retired (no longer brewed),40339
Retired (no longer brewed),40814
Retired (no longer brewed),36214
Year-round,14831
Retired (no longer brewed),14834
Retired (no longer brewed),14836
Year-round,39402
Retired (no longer brewed),16579
Retired (no longer brewed),16580
Retired (no longer brewed),19409
Retired (no longer brewed),26578
Retired (no longer brewed),16154
Year-round,70726
Retired (no longer brewed),73863
Retired (no longer brewed),69896
Retired (no longer brewed),69901
Retired (no longer brewed),11079
Retired (no longer brewed),40561
Retired (no longer brewed),11080
Retired (no longer brewed),11086
Retired (no longer brewed),40559
Year-round,76442
Retired (no longer brewed),23445
Year-round,47588
Retired (no longer brewed),35891
Year-round,69398
Year-round,30384
Rotating/Seasonal,72586
Retired (no longer brewed),65597
Rotating/Seasonal,73249
Rotating/Seasonal,65495
Rotating/Seasonal,75007
Rotating/Seasonal,66264
Rotating/Seasonal,77303
Rotating/Seasonal,65595
Rotating/Seasonal,66415
Rotating/Seasonal,74964
Rotating/Seasonal,71110
Rotating/Seasonal,71131
Rotating/Seasonal,69980
Rotating/Seasonal,60517
Year-round,48650
Year-round,48667
Year-round,48646
Year-round,48644
Year-round,48643
Year-round,71091
Year-round,64246
Year-round,38220
Retired (no longer brewed),61005
Year-round,38221
Year-round,70846
Retired (no longer brewed),35966
Rotating/Seasonal,44500
Retired (no longer brewed),50883
Retired (no longer brewed),75549
Retired (no longer brewed),41668
Retired (no longer brewed),50920
Retired (no longer brewed),55300
Retired (no longer brewed),51716
Retired (no longer brewed),55899
Rotating/Seasonal,44372
Retired (no longer brewed),45738
Retired (no longer brewed),20804
Retired (no longer brewed),46069
Retired (no longer brewed),72661
Retired (no longer brewed),62204
Retired (no longer brewed),72663
Retired (no longer brewed),52351
Retired (no longer brewed),33288
Retired (no longer brewed),50629
Retired (no longer brewed),46318
Retired (no longer brewed),61617
Retired (no longer brewed),50921
Retired (no longer brewed),58881
Retired (no longer brewed),75556
Retired (no longer brewed),37817
Year-round,67667
Retired (no longer brewed),66084
Year-round,71210
Rotating/Seasonal,75833
Rotating/Seasonal,48612
Retired (no longer brewed),26406
Retired (no longer brewed),67454
Retired (no longer brewed),67355
Year-round,65360
Year-round,50308
Retired (no longer brewed),67256
Retired (no longer brewed),28604
Retired (no longer brewed),68051
Retired (no longer brewed),67604
Year-round,63961
Year-round,54440
Year-round,43222
Rotating/Seasonal,61194
Rotating/Seasonal,64375
Year-round,64481
Year-round,44436
Year-round,44432
Year-round,54074
Retired (no longer brewed),64436
Rotating/Seasonal,57577
Year-round,44434
Retired (no longer brewed),60823
Retired (no longer brewed),72420
Year-round,73080
Year-round,48683
Rotating/Seasonal,61788
Rotating/Seasonal,61787
Year-round,61782
Rotating/Seasonal,61784
Retired (no longer brewed),19001
Year-round,45139
Rotating/Seasonal,45138
Retired (no longer brewed),39019
Year-round,70889
Retired (no longer brewed),24180
Retired (no longer brewed),61353
Year-round,69616
Year-round,49019
Retired (no longer brewed),7737
Retired (no longer brewed),36005
Retired (no longer brewed),40388
Retired (no longer brewed),3667
Retired (no longer brewed),39002
Retired (no longer brewed),69938
Retired (no longer brewed),33663
Retired (no longer brewed),42667
Retired (no longer brewed),21668
