brewery_id,address
19455,"Donnington, Moreton-in-Marsh, GB2, UK, GL54 1EP"
848,"1604 S Cascade Ave, Colorado Springs, CO, US, 80906"
11936,"Av. Vasconcelos 564 Ote., San Pedro, MX, 66250"
17232,"440 County St., Milan, MI, US, 48160"
9729,"83 Brighton Road, Glenelg, AU, 5045"
6393,"Unit 8, Aizlewood Road,, Sheffield, GB2, UK, S8 0YX"
1793,", US"
13866,"1474 Kono, Tado-cho, Mie-ken Kuwana-shi, JP, 511-0122"
24299,"Ringstedvej 13, Svinninge, DK, 4520"
27136,"46 Main Street, Bruthen, AU, 3885"
1388,"Vinschgauerstr. 8 via Venosta, Merano, IT, 39022"
12583,"Taybeh, Ramallah, West Bank, PS"
14955,"Rua Hermann Weege, 60 - Centro, Pomerode - SC, BR, 89107000"
24250,"High House Farm, Matfen, Newcastle Upon Tyne, GB2, UK, NE20 0RG"
1755,"No. 157 Jianshe Street, Huian Luocheng Township, CN, 362100"
11438,"The Old Posthouse, Church Lane, Historic Dockyard, Chatham, GB2, UK, ME4 4TE"
11426,"33 New Haven Ave, Milford, CT, US, 06460-3308"
16943,"44 Rue du Prince, Sorel-Tracy, QC, CA, J3P 4J5"
14294,"Willoughby Arms Cottages,Station Rd, Little Bytham, Grantham, GB2, UK, NG33 4RA"
9932,"Auer Strasse 70, Karlsruhe, DE, 76210"
18990,"155 N Gibson Rd, Henderson, NV, US, 89014"
9192,"Le Bourg, La Chapelle-Saint-Ouen, FR, 76780"
24529,"312 Broadway St, Sheridan, WY, US, 82801-3917"
20531,"Bankplassen, Bagn I Valdres, NO, 2930"
24381,"7020 Easy Wind Drive, Suite 100, Austin, TX, US, 78752"
9048,"Kilomero 7 North Highway, 500 Mts.N., Managua, NI"
3517,"Reppelerweg 1, Bocholt, BE, 3950"
1811,"99 Corio St, Geelong, AU, 3220"
23904,"17406 State Route 536, Unit A, Mount Vernon, WA, US, 98273"
2230,"Box 110 34, Göteborg, SE, 404 21"
10425,"700 NW Bond St., Bend, OR, US, 97701"
26516,"670 Trabert Ave NW, Atlanta, GA, US, 30318-4230"
15083,"Ondergenhousweg 15, Stein, NL, 6171 GW"
23742,"Common Farm, Waverton, Chester, GB2, UK, CH3 7PH"
7282,"Adsdorf 5, St. Martin, AT, 4113"
783,"Faxe Allé 1, Faxe, DK, 4640"
18046,"Proleterska 17, and#268;elarevo, RS, 21413"
13529,"Getavägen 196, Godby, FI, 22410"
6126,"Steigerwaldstr. 8, Trabelsdorf, DE, 96170"
9608,"The Old Stables, Park Road, Dukinfield, Cheshire, GB2, UK, SK16 5LX"
19608,"10 Lyndhurst Street, South Island, Westport, NZ, 7825"
10878,"3-23 Dogokitacho, Ehime-ken Matsuyama-shi, JP, 790-0848"
14306,"223 Shioya-machi, Fushimi-ku, Kyoto-fu Kyoto-shi, JP, 612-8046"
13594,"Ulitsa Ak. Satpaeva 109, Pavlodar, KZ, 637000"
7037,"12 Harrowby Hall Estate, Grantham, Lincolnshire, GB2, UK, NG31 9HB"
3956,"11620 104 Ave NW, Edmonton, AB, CA, T5K 2T7"
11365,"Vesterbrogade 3, København, DK, 1620"
19208,"Skolevej 3, Jerslev, DK, 4490"
8786,"Haupstr. 13-15, Poppenhausen, DE, 97490"
9827,"7 Pechon Street, Kingston, JM, 10"
12921,"Hesselager 21, Brøndby, DK, 2605"
5427,"Siniy Utes Village, Tomsk, RU, 634051"
18738,"Olavinkatu 2, Helsinki, FI, 00100"
2182,"Am Stiefel 2, Saarbrücken, DE, 66111"
19668,"179 Tuam St., 3 SOL Square, Christchurch, NZ, 8011"
920,", Madrid, ES"
503,"Magladi Ut 17, Budapest, HU, 1106"
14551,"3101 Busch Drive, Fairfield, CA, US, 94534"
660,"Kerkstraat 7, Belsele, BE, 9111"
18230,"České Armády 1400, Ž amberk, CZ, 564 01"
4713,"Aschaffenburger Straße 3-5, Großostheim, DE, 63762"
18089,"605 S Talbot St, Saint Michaels, MD, US, 21663"
3929,"54-58 Langsett Road, Sheffield, GB2, UK, S6 2UB"
1074,"341 SW 2nd Street, Corvallis, OR, US, 97333"
27361,"c/o 8 Oak Close, Worksop, GB2, UK, S80 1BH"
6592,"Cent 8, Lauterbach, DE, 36341"
94,"5520 US Route 4, PO Box 168, Bridgewaters Corners, VT, US, 05035-0168"
16352,"9519 Critzers Shop Road, Afton, VA, US, 22920"
396,"9990 AleSmith Ct, San Diego, CA, US, 92126"
7375,"147 W Broadway, Salt Lake City, UT, US, 84101-1914"
21448,"29281 Agoura Rd., Agoura Hills, CA, US, 91301"
221,"214 Spanish Town, PO Box 190, Kingston, JM, 11"
1622,"5813 Ponce De Leon Blvd, Coral Gables, FL, US, 33146"
2641,"1620 NW 23rd Ave, Portland, OR, US, 97210"
24827,"1933 Davis St, San Leandro, CA, US, 94577"
782,"925 South 3rd St, La Crosse, WI, US, 54601"
2743,"6550 Mira Mesa Blvd., San Diego, CA, US, 92121"
2418,"Brauerei-Diebels-Straße 1, Issum, DE, 47661"
22433,"4410 Flagg St, Orlando, FL, US, 32812"
16316,"17A Ern Harley Drive, Burleigh Heads, AU, 4220"
11746,"Complexe Imagix, Zoning Des Grand Prés, Mons, BE, 7000"
12613,"Ave Miguel Aleman, Guadalupe, MX, 67130"
8285,"280 Hardy St., Nelson, NZ"
6663,"Scheidter Str. 24-42, Saarbrücken, DE, 66123"
9021,"Frankenstr. 26, Eltmann, DE, 97483"
2078,"14250 Sweetwater Lane, Centreville, VA, US, 20121"
16297,"Skolegade 4b, Gården, Ribe, DK, 6757"
13136,"14 Absolon St, Palmyra, AU, 6957"
12955,"265A Osmington Road, Margaret River, AU, 6285"
2553,"Pusey Road, Wilyabrup, AU, WA 6285"
6493,"Schönbornstr. 2-4, Werneck, DE, 97440"
10224,"1690 28th St, Boulder, CO, US, 80301"
5755,"Heitzerstr. 2, Regensburg, DE, 93049"
3597,"Hopden Brewery, George Street, Woodsetton, Dudley, GB2, UK"
5961,"Obere Str. 24, Schweinfurt, DE, 97421"
21002,"Bergisch Gladbacher Str. 116 - 134, Koln, DE, 51065"
15912,"Stauderstraße 88, Essen, DE, 45326"
19601,"36 Route de la Piscine, Monaco, MC, 98000"
560,", Harjumaa, EE"
715,"Fohrenburgstraße 5, Bludenz, AT, 6700"
9797,"141 South Main Street, Slippery Rock, PA, US, 16057"
3052,"Brewery Lane, Banbury, GB2, UK"
5512,"Trzeciewnica,  Ul. Browarna 1, Naldo, PL, 86-100"
1475,"27 Broadway, Toledo, OH, US, 43604"
9865,"176-755 Lake Bonavista Dr SE, Calgary, AB, CA, T2J 0N3"
2846,"Pivovarska ul. 9, Velky Saris, SK, 082 21"
1274,", CU"
6192,"Gut Riedelsbach, Neureichenau, DE, 94089"
24453,"929 E Bay St, Jacksonville, FL, US, 32202"
18889,"Ruta 25 #2567, Escobar, Buenos Aires, AR, CP 1625"
24574,"825 Schoenhaar Dr, West Bend, WI, US, 53090"
5721,"Hauptstraße 11, Freudenberg, DE, 92272"
11032,"Tijmtuin 1, Leiderdorp, NL, 2353PH"
20783,"Rotu ės G. 22, Biržai, LT, 41137"
9011,"Bencome Farm, Marlow Bottom, Bucks, GB2, UK, SL7 3LT"
24489,"Rue des confédérés, 52, Brussels, BE, 1000"
20630,"35 Patton Ave, Asheville, NC, US, 28801"
12714,"Itäinenkatu 8, Tampere, FI, Finlayson"
13832,"1026 Code Rd, RR 6, Perth, ON, CA, K7H 3C8"
16415,"Hawkshead Mill, Hope Street, Glossop, GB2, UK, SK13 7SS"
11103,"Vesterbrogade 1, Maribo, DK, 4930"
21109,"Tan Y Coed, Bryn Y Garreg, Flint Mountain, Flint, GB7, UK, CH6 5QT"
25393,"935 Front St., Leavenworth, WA, US, 98826"
10214,"BR 040, Km 51, Petrópolis - RJ, BR, 37006-700"
16873,"1135 NW Galveston Ave, Bldg A, Bend, OR, US, 97701-2431"
85,"765 Sullivan Ave, South Windsor, CT, US, 06074"
12130,"Unit 6 Whitehill Park, Industrial Estate, Weobley, Hereford, GB2, UK, HR4 8QE"
3702,"2121-2 Kamiyamakuwa, Nojiri, Shinano-machi, Nagano-ken Kamiminochi-gun, JP, 389-1303"
11891,"Holthonerweg 9, Holthone, NL, 7779 DE"
6067,"7242 Heil Ave, Huntington Beach, CA, US, 92647-4466"
2422,"4th Ave. just off Broadway, PO Box 946, Skagway, AK, US, 99840-0946"
19808,"38 Main Street South, Myponga, AU"
4063,"150 N Mosley St, Wichita, KS, US, 67202-2804"
25940,"Orologio, Evias, Avlon, GR, 34009"
1703,"Str. Industriala Nr. 1, Constanta, RO, 8700"
12272,"Newhouse Farm,  Tenbury Road, Cleobury Mortimer, GB2, UK, DY14 8RD"
1329,"The Pavilion, Ashworth Lane, Bolton, GB2, UK"
475,"Pivovarniska 2, Ljubljana, SI, 1000"
855,"13300 Bothell-Everett Highway #304, Mill Creek, WA, US, 98012"
24526,"Loh Nr 7, Dorfen, DE, 84405"
24802,"89 Commercial St, Malden, MA, US, 02148-5509"
3820,"504 N Broadway Ave, Bozeman, MT, US, 59715-3006"
5055,"6-8-25 Jinkyu, Mie-ken Ise-shi, JP, 516-0017"
18894,"Via Umberto Bonino, Messina, IT, 98121"
7332,"Schweriner Str. 61, Schwerin, DE, 19061"
545,"Engelmanstraat 52-54, Neer, NL, 6068 BD"
5502,"Bielkówko, Ul. Gregorkiewicza 1, Kolbudy, PL, 83-050"
17290,"RN 113 - Z.I.  34140 Mèze, Mèze, FR, 34140"
11489,"Tinkov Pereulok 7, Lit 1, Pushkin, RU, 196600"
23121,"Nordre Beddingsvej 35, Hundested, DK, 3390"
26690,"8, Romsey Industrial Estate, Greatbridge Rd, Romsey, GB2, UK, SO51 0HR"
10641,"Bold Lane, Burtonwood, Warrington, GB2, UK, WA5 4PJ"
25812,"56 S Union St, Rochester, NY, US, 14607"
7776,"Kasseler Straße 7, Marsberg-Westheim, DE, 34431"
25668,"221 S Bell Ave, Denton, TX, US, 76201"
3392,"The Old Sawmill, Nyewood, Petersfield, Hampshire, GB2, UK"
26932,"5430 W San Fernando Rd, Los Angeles, CA, US, 90039-1015"
14440,"204 Valley Street, Duboistown, PA, US, 17702"
15983,"80th Street, Mandalay, MM, 00952"
23031,"Caubergstraat 2, Tildonk, BE, 3150"
158,"2201 Arapahoe Street, Denver, CO, US, 80205"
1627,"1777 Alamar Way, Fortuna, CA, US, 95540"
4663,"Rue Maurice Grévisse, 36, Rulles-Habay, BE, 6724"
192,"500 Linden Street, Fort Collins, CO, US, 80524"
8535,"The Brewery, Leeds, GB2, UK, LS1 1QG"
1540,"56 Crown Street, Richmond, AU, VIC 3121"
2243,"Unit 6D, Rosemount, Park Road, Ballycoolin,, Dublin, IE, 15"
2217,"655, Grande Allée Est, Québec, QC, CA, G1R 2K4"
1491,"Apdo. 795-100, San Jose, CR"
264,"Sinebrychoffinaukio 1, Kerava, FI, 04201"
5696,"380 George St N, Peterborough, ON, CA, K9H 3R3"
4466,"Griessegg 1, Tarrenz, AT, 6464"
3066,"2804 13th St, Columbus, NE, US, 68601-4919"
14239,"c/o 372 Ongar Road, Brentwood, GB2, UK, CM15 9JH"
14014,"80 Point Henry Road, Moolap, AU, 3221"
2383,"2 Sagamore St, Glens Falls, NY, US, 12801"
4028,"456 Jacob St, Neustadt, ON, CA, N0G 2M0"
6875,"18a-18b Canterbury Hill, Tyler Hill, Canterbury, Kent, GB2, UK, CT2 9LS"
4471,"Brauhausgasse 6, Villach, AT, 9500"
9065,"Zone d'Activité du Colguen, Concarneau, FR, 29900"
22654,"1C Rue De Mulhouse, Saint-Louis, FR, 68300"
3527,"Boîte Postale 9, Bascharage, LU, 4901"
225,"10 University Dr, Amherst, MA, US, 01002"
16713,"25 Ionia SW, Grand Rapids, MI, US, 49503"
21832,"10 Pentrich Road, Giltbrook Industrial Park, Derbyshire, Nottingham, GB2, UK, NG16 2UZ"
19603,"Spring Garden Rd., Port Moresby, Hohola NCD, PG, 111"
20972,"Via Mons. Luigi Boni 15, Modena, IT, 41100"
9055,"6 Mshvidoba Str., Rustavi, GE, 383040"
253,"57 Industrial Way, Portland, ME, US, 04103-1071"
1685,"Circunvalación Sur Km. 3 1/2, Holguin, CU"
21104,"c/o Casa Reclusione Rodolfo Morandi, Reg. Bronda 1, Pausa Cafe' Via G.B. Lulli 8/7 Torino, Saluzzo, IT, 12037"
6879,"Unit 8, Tovil Green Business Park, Tovil, Maidstone, Kent, GB2, UK, ME15 6TA"
2548,"ul. Khristo Botev 96, Mezdra, BG, 3100"
18182,"Leuvensebaan 219, Leuvensebaan, BE, 3220"
6059,"Senefelderstr. 21, Straubing, DE, 94315"
9767,"Unit 1, Mulberry Estate, Foundry Lane, Horsham, GB2, UK, RH13 5PX"
14646,"348-354 Argyle Street, Moss Vale, AU, 2577"
1318,"1171 Hooper Ave, Toms River, NJ, US, 08753"
25891,"Kasernenstraße 16, Aachen, DE, 52064"
13667,"5391 Three Notch Rd., Crozet, VA, US, 22932"
1819,", US"
282,"Old Station Yard, Old Station Road, Hadnall, Shrewsbury, GB2, UK, SY4 3DD"
624,"64 Hobbs St, Conway, NH, US, 03818-6131"
11327,"Old Crown Barn, Back Green, Hesket Newmarket, Wigton, GB2, UK, CA7 8JG"
9197,"Polderweg 2, Deinze-Gottem, BE, 9800"
24411,"5133 East 65th Street, Indianapolis, IN, US, 46220"
19607,"Passatge Milans 48-50, 1r 1a, Barcelona, L'Hospitalet De Llobregat, ES, 08907"
7481,"Pivovarská 107, Chodová Planá, CZ, 348 13"
3044,"Königstraße 27, Schleswig, DE, 24837"
3768,"54 E. St. Charles Road, Villa Park, IL, US, 60181"
22849,"Osvobození 55, Broumov, CZ, 550 01"
27322,"27260 Hwy 128, Winters, CA, US, 95694"
3291,"Brückenauerstraße 6, Motten, DE, 97786"
18391,"Rivadavia 1898, Montevideo, UY, 11800"
10574,"Christianstraße 2, Köln, DE, 50825"
16433,"Piazza Risorgimento, 1, Carate Brianza, IT, 20048"
18085,"434 Sharkathmi Ave, PO Box 1141, Soldotna, AK, US, 99669-1141"
22723,"283R Derby St, Salem, MA, US, 01970"
1335,"2 Miss America Way, Atlantic City, NJ, US, 08401"
5989,"Regnitzstr. 2, Bischberg, DE, 96120"
9903,"Le Bas Castelet, Valognes, FR, 50700"
5908,"Schwesterhausgasse 9-15, Neumarkt, DE, 92318"
16351,"Ulitsa Druzhbi 7, Bender, MD, 3000"
25378,"Strandgata 28, Postboks 357, Florø, NO, 6902"
16232,"557 William R Latham Sr Dr, Bourbonnais, IL, US, 60914-2319"
2597,"7160 Oliver St, Mission, BC, CA, V2V 6K5"
2303,"Via Adelchi, 5, Milano, IT, 20100"
11753,"8 Ruelle De La Fiels, Toernich, BE, 6700"
24428,"1601 Sublette Ave, Saint Louis, MO, US, 63110"
16292,"Strandvejen 5, Fanø, DK, 6720"
23934,"Lindetorpsvägen 17, Stockholm, SE, 121 63"
12270,"Manor Farm, Cullingworth,, Bradford, GB2, UK, BD13 5HN"
544,"Molensteijn 3d, De Meern, NL, 3454 PT"
25963,"601 S Lafayette St, South Lyon, MI, US, 48178"
12227,"Vándor Sándor U. 1, Sopron, HU, 9400"
1644,"270-278 West Main Street, Kutztown, PA, US, 19530"
534,"Eimersweg 4, Lievelde, NL, 7137 HG"
